text,top_class,hate_speech,offensive_language,neither
"Yes, I’ve been waiting for more dealing with psycho simulator @cdnthe3rd [+]",neither,0.020170251461126092,0.3214079904410571,0.6584217580978167
Yerrrrrrrrrr,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ceeez the rap god smash slaying fortnite don wutup pimp,neither,0.03883278283265174,0.31911171937860894,0.6420554977887393
dance intro 10/10,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezNatural ceezO ceezNatural ceezO ceezNatural ceezO ceezNatural ceezO ceezNatural ceezO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
<3,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezMani ceezFest,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hotlneblng subscribed at Tier 1. They've subscribed for 10 months! AYYYYY PAPI,neither,0.023407905105896406,0.31662040067334574,0.659971694220758
Hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
!song,neither,0.038601720699969956,0.3448280572582511,0.616570222041779
"Enexro, http://www.shazam.com/",neither,0.0364481805509037,0.2303424311669227,0.7332093882821735
ya yeeeet,offensive_language,0.017331157930923866,0.7872544665869478,0.19541437548212848
Viva Mexico bruv made history,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
RUIZ POG,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ragFarmer Clap ragFarmer Clap ragFarmer Clap ragFarmer Clap ragFarmer Clap ragFarmer Clap ragFarmer Clap,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
let's goooooooo,neither,0.01259774405356427,0.402817721707079,0.5845845342393566
++++++,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Allez allez allez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger ceezBanger,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Mau5,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Cdn will never CEEZ to amaze me,neither,0.03369208399890341,0.4048144582444946,0.5614934577566021
hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb ceezThumb,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AntonsFlow subscribed with Twitch Prime. They've subscribed for 15 months!,neither,0.018278171923937783,0.3232003157147426,0.6585215123613197
I was just watching the YouTube video ceezPogitivity,neither,0.03900724900766512,0.25180605758302005,0.7091866934093148
yyyyyoooooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezBrush ceezBrush ceezBrush ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
“I will fuck your Father’s up” - Ceez 2019,offensive_language,0.24905559005727504,0.7503460376658901,0.0005983722768349533
ceezBackHug ceezBackHug ceezBackHug ceezBackHug,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB hangry3MegaDAB,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
AYYYY,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Twitch.ttv kids are gona wipe the crust out there eyes and we’re all fooked mate,neither,0.0587386218252571,0.2726896619440891,0.6685717162306539
SingsMic,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ruizzzzzzzzzz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
letsssss goooooooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezExplo ceezExplo ceezExplo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
I'm WuWu,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PogChamp PogChamp PogChamp PogChamp PogChamp PogChamp,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LETS GOOO CEEZ,neither,0.03868305123800957,0.34344766577192837,0.6178692829900622
YOOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
CEEEZZZZZZZZZZZ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
papi chulo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
sup,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezMagine,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
reqReqt reqReqt reqReqt reqReqt reqReqt reqReqt reqReqt,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Wilder > Joshua,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Ceez,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE babyca4EsLOVE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezExplo ceezExplo ceezExplo ceezExplo ceezExplo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
RIP ANTHONY JOSHUA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
They say I watch too much ceez loooool,neither,0.04025595765965884,0.33351517671492903,0.6262288656254121
ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezExplo ceezExplo ceezExplo ceezExplo ceezExplo ceezExplo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezBonding ceezBonding ceezBonding ceezBonding ceezBonding ceezBonding,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
hello,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
PAPPIIIPLEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
[+],neither,0.03945320844208391,0.33037608806864915,0.630170703489267
DATHWA,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what a dayu,neither,0.057770773616808734,0.3180719994247239,0.6241572269584672
YUR,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yo pop,neither,0.0420775625658173,0.40342487525934295,0.5544975621748398
PAPI CHULOOOO,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezExplo ceezExplo ceezExplo ceezExplo ceezExplo ceezExplo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what a day papi plee,neither,0.04562254079386535,0.3115318235751643,0.6428456356309703
ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Hey bud,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@CDNThe3rd Ruiz was a +1125 underdog lol,neither,0.03148462146546625,0.3895192628875357,0.578996115646998
#teamFat,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
CEEEZ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceez [+],neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ME,neither,0.018491955366437673,0.460246435692358,0.5212616089412043
Rigged match,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
mclandC mclandD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
meee,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Why are there scousers in here ffs,neither,0.12995061956795578,0.1986443869570162,0.671404993475028
PAPI!!!!!!,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MEEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Your dealin with a season 1 vet khed!!!!!!!![+],neither,0.054120000286209356,0.3568247644654657,0.589055235248325
hi,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
CEEZ,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
what?!,neither,0.057770773616808734,0.3180719994247239,0.6241572269584672
ceezDeded ceezDeded ceezDeded ceezDeded ceezDeded ceezDeded ceezDeded ceezDeded,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
SAYING,neither,0.025310461168367264,0.33524042738027793,0.6394491114513549
mEEEEEEEEEEEEEEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
[+][+][+][+],neither,0.03945320844208391,0.33037608806864915,0.630170703489267
gabriel iglesias sent joshua to the shadow realm,neither,0.04309474438195404,0.31743362037867295,0.639471635239373
Meeeeee,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MEEEEEEEEMEMEMME,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
RUIZ WASHED HIM,neither,0.03933623879231336,0.33236136829171586,0.6283023929159709
OMGAWDDD,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Wassup ceez,neither,0.33529425248498695,0.08556156890646638,0.5791441786085466
ANDY RUIZ IS PogChamp,neither,0.046565519065701666,0.327929838305898,0.6255046426284003
UHHHWUHH,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
broooo epic fight,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
How the fuuuuuuck,neither,0.037534572347672615,0.294028454535783,0.6684369731165445
nephskillet subscribed with Twitch Prime. They've subscribed for 8 months! [+],neither,0.017135853092050617,0.3228815153557895,0.6599826315521599
nutty,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady ceezLady,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
MMMMMEEEMMMMEEEEMMMMMEE,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Notice me,neither,0.030417710561350883,0.38017139541472955,0.5894108940239196
meeee,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Brother,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
[+],neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ypooo,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Joshua got destroyed LUL,neither,0.03854879996781556,0.3628099654615027,0.5986412345706816
Ceez What Good Brother @cdnthe3rd ceezPogitivity ceezPogitivity ceezPogitivity ceezPogitivity,neither,0.04564990759098491,0.3256274079124707,0.6287226844965443
was crazy,neither,0.024070901386936034,0.4878400910097575,0.4880890076033065
ceezYeet curvyBlank ceezYeet curvyBlank ceezYeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezMT ceezMT ceezMT ceezMT ceezMT ceezMT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
its on youtube lul,neither,0.03207265462019774,0.34381048963279875,0.6241168557470036
memememememememe,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezMT ceezMT ceezMT ceezMT ceezMT,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Litttttty,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Yeet yeet yeet yeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Sky sports,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
letssssssss get rdyyyyyyyyyyy,neither,0.03779508335914271,0.3585187980877974,0.6036861185530599
ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP ceezP,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Anthony has the greatest fall since the Deathstar,neither,0.03850711838836703,0.3032488026903567,0.6582440789212762
was it good,neither,0.035783398712733866,0.3351322438494399,0.6290843574378262
memememememememememememememem,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
itsonlyFrosTed subscribed with Twitch Prime. They've subscribed for 15 months! love your content ceez,neither,0.027522581699384305,0.32720590824625,0.6452715100543657
in México it was free,neither,0.03730251268045422,0.3339535604853026,0.6287439268342432
Lmao I’m urs,neither,0.038332321439096796,0.3494004657913142,0.6122672127695891
m0mentum subscribed with Twitch Prime. They've subscribed for 6 months!,neither,0.017135853092050617,0.3228815153557895,0.6599826315521599
im sad I missed it,neither,0.03715506374457592,0.36436680574511016,0.598478130510314
>(,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
"mp8ball916 subscribed at Tier 1. They've subscribed for 6 months, currently on a 4 month streak! 4 months and more to come!!!!!!! ceezGU ceezGU ceezGU ceezGU ceezGU ceezGU ceezGU",neither,0.02685296728567275,0.3146002225926717,0.6585468101216555
!uptimme,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
crazy back and fourth fight but still amazing,neither,0.029206643637649757,0.39327007926968854,0.5775232770926617
saw it on KODI,neither,0.033361710461126126,0.3513767778742551,0.6152615116646186
ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet ceezYeet,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
LUL LUL LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
Andy Ruiz,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
wsup,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
@cdnthe3rd just popping in to say good night brother,neither,0.03419316486248554,0.34416810424842653,0.6216387308890879
reqH2o reqH2o reqH2o reqH2o reqH2o reqH2o reqH2o reqH2o reqH2o ceezBonding ceezBonding ceezBonding,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
What’s poppin y’all,neither,0.049235505997313835,0.41791006979205253,0.5328544242106337
I'm actually glad you're not doing Movie Night cause I'm still trying to catch up LUL,neither,0.054576817979514886,0.3733486295094726,0.5720745525110126
LUL LUL,neither,0.03945320844208391,0.33037608806864915,0.630170703489267
